book_title,book_brand,book_price
A Wizard's Guide to Defensive Baking,Mint Editions,25.79
The Last Agent,Mint Editions,24.89
Full Tilt,Mint Editions,26.89
Little Dorrit,CreateSpace Independent Publishing Platform,75.69
A Beautifully Foolish Endeavor,Union Square & Co.,34.99
Persuasion,Digireads.com,14.39
The Memoirs of Sherlock Holmes,Digireads.com,15.29
Lost Illusions,Minotaur Books,43.29
The Woman in White,Ace Books,44.59
Wives and Daughters,Dell,46.59
Any Witch Way You Can,Doubleday Books,29.49
Dracula,Del Rey Books,12.89
The Happy Prince and Other Stories,Penguin Books Ltd (UK),15.89
The Dead,Harper Collins Publ. UK,12.09
The Darkest Evening,Simon + Schuster UK,26.59
Magic Bites,Random House UK Ltd,11.59
Faefever,Cactus Classics,11.49
A Time for Mercy,Macmillan USA,38.79
The Hobbit,Random House UK Ltd,11.59
The Whisper Man,Macmillan USA,12.89
A Woman is No Man,"Little, Brown Book Group",14.69
The Stationery Shop of Tehran,Random House LCC US,12.89
Out of Sight,Pan Macmillan,11.79
Pride and Prejudice (Cactus Classics Large Print),Ingram Publisher Services,80.19
Mistborn 2. The Well of Ascension,Orion Publishing Group,15.89
The Housekeeper and the Professor,"Little, Brown Book Group",17.79
Oathbringer,Random House UK Ltd,15.89
Alias Grace. Collector's Edition,Pan Macmillan,16.49
The Nickel Boys,Random House UK Ltd,34.89
This Was a Man,Penguin Books Ltd (UK),13.49
A Girl Returned,Penguin LCC US,23.79
An Absolutely Remarkable Thing,Pan Macmillan,15.29
Every Breath,Pan Macmillan,14.09
A Place for Us,Orion Publishing Group,14.69
Salvation,Simon + Schuster Inc.,15.29
Small Country,Orion Publishing Group,15.29
The Case-Book of Sherlock Holmes,Random House UK Ltd,14.69
The Great Believers,Random House UK Ltd,25.09
Jackdaws,PRABHAT PRAKASHAN PVT LTD,17.09
Looking Good Dead,RM,14.69
The House of Silk,Dark Owl Fantasy Inc,15.89
Lie With Me,"Top Five Books, LLC",34.89
The Illustrated Good Omens,INDEPENDENTLY PUBLISHED,53.89
The Eight Mountains,Notion Press,15.89
Mother Night,Notion Press,15.29
The Power of Your Subconscious Mind,Grand Central Publishing,64.19
"Pedro PÃ¡ramo (Pedro PÃ¡ramo, Spanish Edition)",THOMAS & MERCER,20.19
Two Witches and a Whiskey,Scribner Book Company,25.89
A Christmas Carol (Illustrated),Kensington Publishing Corporation,35.09
Dracula- White Cat Illustrated Edition,Large Print Press,34.49
An Occurrence at Owl Creek Bridge,Thorndike Press Large Print,14.99
The Willows,Digireads.com,19.79
The First Lady,Hanover Square Press,35.89
The Eighth Sister,Tor Books,20.59
Darkness at Noon,Washington Square Press,21.79
Left to Die,Orbit,24.89
Then She Was Gone,PENGUIN GROUP,20.69
The Silent Patient,Harper,77.19
A Girl of the Limberlost,William Morrow & Company,22.89
The One,"Little, Brown Book Group",23.29
I Am Legend,Orion Publishing Group,25.89
The Other Boleyn Girl,Orbit,29.59
The Burning White,Pan Macmillan,38.29
Sense and Sensibility,ATRIA,21.89
The Dutch House,Macmillan USA,36.19
Orphan Train,Quercus Publishing Plc,21.79
It Devours!,Head of Zeus Ltd.,14.69
The Hero of Ages,Pan Macmillan,27.49
Bloody Rose,Harper Collins Publ. UK,16.49
The Reality Dysfunction,Gallery Books,19.09
The Simple Wild,Headline,25.39
Dark in Death,SCRIBNER BOOKS CO,14.09
The Dark Angel,Pan Macmillan,15.89
City of Endless Night,Quercus Publishing Plc,12.89
End Game,Orion Publishing Group,15.29
The Complete Robot,Headline,16.49
Love and Other Words,CreateSpace Independent Publishing Platform,23.89
What It Means When A Man Falls From The Sky,CreateSpace Independent Publishing Platform,16.49
"Matthews, J: KREMLINS CANDIDATE",CreateSpace Independent Publishing Platform,42.69
A Town Like Alice,CreateSpace Independent Publishing Platform,17.79
City of Miracles,CreateSpace Independent Publishing Platform,20.79
Altered Carbon. Netflix Tie-In,CreateSpace Independent Publishing Platform,14.69
This Is How It Always Is,CreateSpace Independent Publishing Platform,17.09
Dracula,CreateSpace Independent Publishing Platform,18.79
Persuasion,Riyria Enterprises LLC,25.19
The Adventures of Sherlock Holmes,Wordsworth Editions,16.69
Notes from the Underground,Legends Press,11.09
Much Ado About Nothing (Large Print),SIMON & BROWN,15.69
Wives and Daughters,SIMON & BROWN,40.39
Getting Schooled,SIMON & BROWN,27.69
Witch's Reign,SIMON & BROWN,24.39
The Disappearance of Winter's Daughter,SIMON & BROWN,27.99
The Railway Children,SIMON & BROWN,20.69
Little Women (Legend Classics),SIMON & BROWN,35.89
Hamlet,SIMON & BROWN,28.69
Pollyanna,SIMON & BROWN,25.29
The Picture of Dorian Gray,SIMON & BROWN,38.49
The Scarlet Pimpernel,SIMON & BROWN,40.19
The Scarlet Pimpernel,SIMON & BROWN,25.79
White Fang,SIMON & BROWN,38.19
North and South,SIMON & BROWN,43.29
The Hunchback of Notre Dame,SIMON & BROWN,54.89
North and South,SIMON & BROWN,28.99
Notes from the Underground,SIMON & BROWN,22.39
The Possessed (The Devils),SIMON & BROWN,61.69
Emma,SIMON & BROWN,50.59
Emma,SIMON & BROWN,36.29
"Right Ho, Jeeves",SIMON & BROWN,41.59
Pollyana,SIMON & BROWN,40.39
Of Human Bondage,SIMON & BROWN,65.29
The Woman in White,CreateSpace Independent Publishing Platform,67.49
The Woman in White,CreateSpace Independent Publishing Platform,53.39
Orthodoxy,CreateSpace Independent Publishing Platform,21.29
Peter Pan,CreateSpace Independent Publishing Platform,21.29
Peter Pan,CreateSpace Independent Publishing Platform,35.99
The Divine Comedy,CreateSpace Independent Publishing Platform,58.59
The Divine Comedy,CreateSpace Independent Publishing Platform,72.69
My Man Jeeves,CreateSpace Independent Publishing Platform,10.49
Anne of the Island,CreateSpace Independent Publishing Platform,19.99
A Study in Scarlet,CreateSpace Independent Publishing Platform,9.49
White Fang,CreateSpace Independent Publishing Platform,20.59
Crime and Punishment,CreateSpace Independent Publishing Platform,30.49
Ben-Hur,CreateSpace Independent Publishing Platform,29.19
Carved in Ice,CreateSpace Independent Publishing Platform,24.39
The Fairy Tales of Charles Perrault,CreateSpace Independent Publishing Platform,22.19
The Sweetest Oblivion,CreateSpace Independent Publishing Platform,29.09
In Search of the Castaways,Canterbury Classics,31.79
White Fang,SIMON & BROWN,9.49
Persuasion,Europa Editions,10.89
Peter and Wendy,CreateSpace Independent Publishing Platform,10.89
The Gift of the Magi,Grand Central Publishing,12.39
Martin Eden,Blackstone Publishing,15.49
Dracula,Read & Co. Great Essays,19.09
Crime and Punishment,Wilder Publications,23.39
The Hunchback of Notre Dame,Wilder Publications,55.99
My Brilliant Friend (HBO Tie-In Edition),SMK Books,21.89
The Brothers Karamazov,SMK Books,47.89
The Night Stalker,SMK Books,16.59
The Indigo Girl,SMK Books,21.99
A Modest Proposal,BBBZ Books,22.49
A Christmas Carol,SMK Books,34.49
Twenty Years After,SMK Books,71.69
Freckles,SMK Books,46.49
The Woman in White,Gallery Books,70.79
The Moon and Sixpence,ZAFFRE,46.49
Something New,Kensington Publishing Corporation,48.29
Rainbow Valley,Vision,60.69
The Gift of the Magi,St. Martin's Griffin,24.59
The Devil's Dictionary,Tor Books,60.49
Barchester Towers,Tor.com,60.69
The Talisman,BERKLEY BOOKS,27.19
Monsoon,Del Rey Books,23.29
Instant Attraction,Franklin Classics Trade Press,16.49
End Game,St. Martin's Griffin,15.59
Year One,Harper Paperbacks,27.99
The Fated Sky,Pan Macmillan,27.99
Binti,Orion Publishing Group,19.39
Archangel's Prophecy,Macmillan USA,10.29
Iron Gold,Pan Macmillan,37.49
Sans Famille,Orion Publishing Group,21.99
Winter Garden,Hodder And Stoughton Ltd.,23.29
The Art of Racing in the Rain,Quercus Publishing Plc,24.59
The Lost Plot,Faber & Faber,14.69
Hogfather,Penguin Books Ltd (UK),23.29
Orphan X 02. The Nowhere Man,Penguin Books Ltd (UK),14.69
The Nix,Harper Collins Publ. USA,17.09
The Mountain Between Us,Harper Collins Publ. UK,14.69
It. Film Tie-In,"Little, Brown Book Group",17.79
The Chalk Pit,Orion Publishing Co,14.69
The Poisonwood Bible,Titan Publ. Group Ltd.,16.89
East of Eden,Quercus Publishing Plc,13.49
Cannery Row,Titan Books Ltd,12.89
First Star I See Tonight,Random House UK Ltd,12.19
The Unexpected Guest,Random House UK Ltd,13.49
The Shadow of What Was Lost,Random House UK Ltd,16.49
Rather Be the Devil,Macmillan USA,14.69
A Darker Shade of Magic 03. A Conjuring of Light,Wisehouse Classics,15.29
City of Blades,CreateSpace Independent Publishing Platform,20.79
A Perilous Undertaking,CreateSpace Independent Publishing Platform,16.09
Doctor Zhivago (Vintage Classic Russians Series),CreateSpace Independent Publishing Platform,18.49
The Master and Margarita (Vintage Classic Russians Series),CreateSpace Independent Publishing Platform,19.59
War and Peace (Vintage Classic Russians Series),CreateSpace Independent Publishing Platform,18.49
The Bands of Mourning,CreateSpace Independent Publishing Platform,14.69
The Case-Book of Sherlock Holmes (Wisehouse Classics Edition - With Original Illustrations),CreateSpace Independent Publishing Platform,17.59
The Land,CreateSpace Independent Publishing Platform,64.69
A Christmas Carol in Prose,CreateSpace Independent Publishing Platform,10.39
A Christmas carol By,CreateSpace Independent Publishing Platform,13.59
Pride and Prejudice,CreateSpace Independent Publishing Platform,26.39
Rose in Bloom,CreateSpace Independent Publishing Platform,17.19
Peter and Wendy,CreateSpace Independent Publishing Platform,17.19
War and Peace,CreateSpace Independent Publishing Platform,51.99
A Christmas Carol,CreateSpace Independent Publishing Platform,9.99
Eight Cousins,CreateSpace Independent Publishing Platform,14.39
Anne of Green Gables,CreateSpace Independent Publishing Platform,15.99
Persuasion,CreateSpace Independent Publishing Platform,12.79
The Woman in White,CreateSpace Independent Publishing Platform,23.99
The Possessed,CreateSpace Independent Publishing Platform,19.09
Anne of the Island,CreateSpace Independent Publishing Platform,11.99
"A Christmas Carol - Illustrated, Large Print, Large Format",INDEPENDENTLY PUBLISHED,17.69
White Fang,Suzeteo Enterprises,16.09
"Bram Stoker, Dracula","Aston & James Publishing, LLC",37.49
The Return of Sherlock Holmes,"Aston & James Publishing, LLC",14.39
Persuasion,Chump Change,10.79
Barchester Towers,Stars Hollow Publishing,16.29
Beyond Good and Evil,Book Beautiful,11.19
Lauren's Barbarian,EVERTYPE,22.89
Peter Pan,EverAfter Romance,36.19
The Hound of the Baskervilles,Argyll Productions,15.89
Peter Pan,CreateSpace Independent Publishing Platform,12.69
White Fang,CreateSpace Independent Publishing Platform,30.39
Keeper,CreateSpace Independent Publishing Platform,21.69
The Knight,CreateSpace Independent Publishing Platform,22.39
&#1040;&#1083;&#1080;&#1089;&#1072;&#1085;&#1099;&#1187; &#1179;&#1072;&#1081;&#1171;&#1072;&#1083;&#1083;&#1099;&#1171; &#1063;&#1077;&#1088;&#1080;&#1085;&#1076;&#1077; &#1087;&#1086;&#1083;&#1171;&#1072;&#1085; &#1095;&#1086;&#1088;&#1091;&#1179;&#1090,CreateSpace Independent Publishing Platform,28.19
Crown of Lies,CreateSpace Independent Publishing Platform,21.89
Clockwork Boys,CreateSpace Independent Publishing Platform,72.59
The Return of Sherlock Holmes,CreateSpace Independent Publishing Platform,22.39
The Memoirs of Sherlock Holmes,CreateSpace Independent Publishing Platform,20.59
The Federalist Papers,CreateSpace Independent Publishing Platform,13.39
Swann's Way,CreateSpace Independent Publishing Platform,23.79
The Princess and the Goblin,CreateSpace Independent Publishing Platform,21.79
Emma,CreateSpace Independent Publishing Platform,11.89
The Secret Garden,CreateSpace Independent Publishing Platform,21.69
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,18.79
The Machine Stops,CreateSpace Independent Publishing Platform,16.19
Swann's Way,CreateSpace Independent Publishing Platform,36.89
The Hound of the Baskervilles,CreateSpace Independent Publishing Platform,19.19
Rilla of Ingleside,CreateSpace Independent Publishing Platform,35.59
Persuasion,CreateSpace Independent Publishing Platform,18.59
One Thousand Nights and a Night,CreateSpace Independent Publishing Platform,21.69
Sense and Sensibility,CreateSpace Independent Publishing Platform,13.59
Little Women,CreateSpace Independent Publishing Platform,28.29
"The Federalist, on the new Constitution, written in 1788. By",CreateSpace Independent Publishing Platform,30.09
The Souls of Black Folk,CreateSpace Independent Publishing Platform,11.29
The Woman in White,CreateSpace Independent Publishing Platform,14.99
His Last Bow,CreateSpace Independent Publishing Platform,18.79
Grimm's Fairy Tales,CreateSpace Independent Publishing Platform,34.59
Ben-Hur,CreateSpace Independent Publishing Platform,39.49
Emma,CreateSpace Independent Publishing Platform,20.99
An Ideal Husband,CreateSpace Independent Publishing Platform,11.19
Bleak House,CreateSpace Independent Publishing Platform,20.59
A Girl of the Limberlost,CreateSpace Independent Publishing Platform,22.79
Pride and Prejudice,CreateSpace Independent Publishing Platform,12.39
An Old-fashioned Girl,CreateSpace Independent Publishing Platform,12.39
The Jungle Book,CreateSpace Independent Publishing Platform,33.99
The Complete Collection of Edgar Allan Poe,CreateSpace Independent Publishing Platform,31.49
The picture of Dorian Gray,CreateSpace Independent Publishing Platform,17.99
The Consolation of Philosophy,CreateSpace Independent Publishing Platform,23.29
The Adventures of Robin Hood,CreateSpace Independent Publishing Platform,25.29
The Woman in White,CreateSpace Independent Publishing Platform,24.39
A Christmas Carol,CreateSpace Independent Publishing Platform,11.19
A Girl of the Limberlost,CreateSpace Independent Publishing Platform,12.59
A Girl of the Limberlost,CreateSpace Independent Publishing Platform,15.99
As a Man Thinketh,CreateSpace Independent Publishing Platform,11.19
As a Man Thinketh,CreateSpace Independent Publishing Platform,11.29
Dracula,CreateSpace Independent Publishing Platform,14.29
Little Women,CreateSpace Independent Publishing Platform,24.39
Little Women,CreateSpace Independent Publishing Platform,16.19
Dracula,CreateSpace Independent Publishing Platform,15.99
Eight Cousins,CreateSpace Independent Publishing Platform,12.99
"In Search of the Castaways; Or, The Children of Captain Grant",CreateSpace Independent Publishing Platform,22.79
The Custom of the Country,CreateSpace Independent Publishing Platform,24.99
"Right Ho, Jeeves",CreateSpace Independent Publishing Platform,23.39
David Copperfield,CreateSpace Independent Publishing Platform,41.69
The Wind in the Willows,CreateSpace Independent Publishing Platform,17.29
Anne of Green Gables,CreateSpace Independent Publishing Platform,12.59
Pride and Prejudice,CreateSpace Independent Publishing Platform,29.99
Little Dorrit,CreateSpace Independent Publishing Platform,33.09
The Mysterious Island,CreateSpace Independent Publishing Platform,20.59
The Princess and the Goblin,CreateSpace Independent Publishing Platform,9.69
Bleak House,CreateSpace Independent Publishing Platform,33.59
"Ãmile Zola Collection - The Assommoir (L'Assommoir), The Prelude to ""Nana""",CreateSpace Independent Publishing Platform,47.39
Rainbow Valley,CreateSpace Independent Publishing Platform,11.39
A Christmas Carol in Prose,CreateSpace Independent Publishing Platform,10.59
The Hound of the Baskervilles,CreateSpace Independent Publishing Platform,9.49
White Fang,CreateSpace Independent Publishing Platform,14.69
The Return of Sherlock Holmes,CreateSpace Independent Publishing Platform,31.59
Alice's Adventures in Wonderland & Through the Looking Glass,CreateSpace Independent Publishing Platform,20.19
A Little Princess,CreateSpace Independent Publishing Platform,9.39
Little Women,CreateSpace Independent Publishing Platform,42.29
The Happy Prince,CreateSpace Independent Publishing Platform,15.89
The Way We Live Now,CreateSpace Independent Publishing Platform,27.79
A Girl of the Limberlost,CreateSpace Independent Publishing Platform,19.69
Crime and Punishment,CreateSpace Independent Publishing Platform,40.89
White Fang,CreateSpace Independent Publishing Platform,14.79
The Woman in White,CreateSpace Independent Publishing Platform,44.09
The Possessed,CreateSpace Independent Publishing Platform,55.09
The Moon and Sixpence,CreateSpace Independent Publishing Platform,19.19
The Hot Shot,CreateSpace Independent Publishing Platform,25.79
The Divine Comedy,CreateSpace Independent Publishing Platform,35.59
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,13.69
Sense and Sensibility,CreateSpace Independent Publishing Platform,33.09
Jane Austen Collection - Emma,CreateSpace Independent Publishing Platform,55.69
Jane Austen Collection - Pride and Prejudice,CreateSpace Independent Publishing Platform,68.59
Alice in Wonderland,CreateSpace Independent Publishing Platform,11.79
Anne of Green Gables,CreateSpace Independent Publishing Platform,11.29
Pride and Prejudice,CreateSpace Independent Publishing Platform,14.09
The Tenant of Wildfell Hall,CreateSpace Independent Publishing Platform,41.29
The Woman in White (1860). By,CreateSpace Independent Publishing Platform,40.29
Sense and Sensibility,CreateSpace Independent Publishing Platform,24.99
Rilla of Ingleside,CreateSpace Independent Publishing Platform,20.29
Nobody's Boy,CreateSpace Independent Publishing Platform,20.29
Hamlet,CreateSpace Independent Publishing Platform,20.29
Camille,CreateSpace Independent Publishing Platform,21.49
Bulfinch's Mythology,CreateSpace Independent Publishing Platform,48.59
Anne of the Island,CreateSpace Independent Publishing Platform,19.09
Anne of Green Gables,CreateSpace Independent Publishing Platform,25.49
The Custom of the Country,CreateSpace Independent Publishing Platform,31.99
Anna Karenina,CreateSpace Independent Publishing Platform,11.19
Sense and Sensibility,CreateSpace Independent Publishing Platform,98.09
Anne of Avonlea,CreateSpace Independent Publishing Platform,19.49
The Railway Children (1906). By,CreateSpace Independent Publishing Platform,18.09
The Secret Garden (1911) by,CreateSpace Independent Publishing Platform,17.49
Emma (1816) by,CreateSpace Independent Publishing Platform,25.49
De Profundis,CreateSpace Independent Publishing Platform,14.69
The princess and the goblin. ( children's fantasy NOVEL ) By,CreateSpace Independent Publishing Platform,15.89
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,10.39
Martin Eden,CreateSpace Independent Publishing Platform,24.29
An Old Fashioned Girl,CreateSpace Independent Publishing Platform,28.59
Tragedy of Hamlet Shakespeare - (1676),CreateSpace Independent Publishing Platform,9.79
His last bow; a reminiscence of Sherlock Holmes. By,CreateSpace Independent Publishing Platform,14.59
The Adventures Of Sherlock Holmes by,CreateSpace Independent Publishing Platform,20.29
Double Shot Classics Volume Four,Grand Central Publishing,29.19
Double Shot Classics Volume Two,Grand Central Publishing,29.19
Rose in Bloom,Thorndike Press Large Print,25.89
Dracula,Digireads.com,25.29
The Picture of Dorian Grey,POCKET BOOKS,16.29
Sense and Sensibility,POCKET BOOKS,17.49
Our Mutual Friend,Swerve,42.89
End Game,St. Martin's Press,68.79
End Game,Del Rey Books,42.79
The Heart's Invisible Furies,Orbit,63.69
Of Human Bondage,Random House LCC US,36.99
Smash Cut,Hodder And Stoughton Ltd.,14.19
Ricochet,Orion Publishing Group,12.89
Hooking Up (Pod Original),Pan Macmillan,22.49
The 14th Colony,Penguin Books Ltd (UK),13.19
The Bear and the Nightingale,Random House LCC US,36.19
Persepolis Rising,Penguin Publishing Group,46.89
The Hitchhiker's Guide to the Galaxy,Penguin Books Ltd,11.59
Britt-Marie Was Here,Hodder And Stoughton Ltd.,15.89
Reckoners 3. Calamity,Harper Collins Publ. UK,15.89
The Last Mile,HarperCollins Publishers,15.89
Brideshead Revisited,"The New York Review of Books, Inc",26.29
A Game of Thrones. 20th Anniversary Illustrated Edition,Insel Verlag GmbH,69.19
One Flew Over the Cuckoo's Nest,Random House LCC US,34.39
The Day of the Triffids,Simon + Schuster Inc.,30.09
Red Rising 3. Morning Star,Macmillan USA,15.89
Foundation,Pan Macmillan,14.69
Second Foundation,Pan Macmillan,16.19
"Slow Days, Fast Company",Pan Macmillan,23.89
A Christmas Carol,Transworld Publ. Ltd UK,18.49
The Underground Railroad,Random House UK Ltd,38.59
Doctor Sleep,Orion Publishing Group,15.89
The Nature of the Beast,Harper Collins Publ. USA,23.29
Emma,Penguin LCC US,17.79
Dracula,Pan Macmillan,17.79
Sense and Sensibility,Random House UK Ltd,16.49
I'm Travelling Alone,Penguin LCC US,12.89
The Cartel,Penguin LCC US,16.49
Even Dogs in the Wild,Wisehouse Classics,12.89
Pretty Girls,Wisehouse Classics,12.89
Day Shift,Wisehouse Classics,15.39
Ruin,RM,17.79
Dragonfly in Amber. TV Tie-In,hansebooks,15.29
Magic Shifts,Devoted Publishing,12.89
The Captive Prince 3. Kings Rising,Devoted Publishing,23.89
White Fang (Wisehouse Classics - with original illustrations),Well Read Edition,14.89
Alice's Adventures in Wonderland (Wisehouse Classics - Original 1865 Edition with the Complete Illustrations by Sir John Tenniel),Cipher-Naught,15.89
The Memoirs of Sherlock Holmes (Wisehouse Classics Edition - with original illustrations by Sidney Paget),Harvard Square Editions,18.39
"El Llano En Llamas (the Burning Plain, Spanish Edition)",Book Beautiful,20.19
On the origin of species by means of natural selection,MACMILLAN COLLECTOR S LIBRARY,71.29
Pride and Prejudice,Qualitas Classics,36.89
Anna Karenina,Horse's Mouth,64.69
Jane Eyre,Night Shade Books,60.89
Beauty and the Mustache,Large Print Press,30.49
Pride and Prejudice,CreateSpace Independent Publishing Platform,38.49
The Pawn,CreateSpace Independent Publishing Platform,21.99
The Hunchback of Notre-Dame,CreateSpace Independent Publishing Platform,19.19
Through the Looking Glass (Qualitas Classics),CreateSpace Independent Publishing Platform,16.79
Lucy Maud Montgomery - Rilla of Ingleside,CreateSpace Independent Publishing Platform,18.69
A Symphony of Echoes,CreateSpace Independent Publishing Platform,16.79
Devoted in Death,CreateSpace Independent Publishing Platform,19.19
The Mysterious Affair at Styles,CreateSpace Independent Publishing Platform,17.09
Persuasion Jane Austen 1906,CreateSpace Independent Publishing Platform,22.19
The Adventures of Sherlock Holmes(Illustrated),CreateSpace Independent Publishing Platform,26.09
The Aventures of Sherlock Holmes (illustrated),CreateSpace Independent Publishing Platform,41.49
Persuasion,CreateSpace Independent Publishing Platform,16.29
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,20.69
Dracula (1897). By,CreateSpace Independent Publishing Platform,19.99
One Fell Sweep,CreateSpace Independent Publishing Platform,27.69
The Tenant of Wildfell Hall,CreateSpace Independent Publishing Platform,37.09
Emma(illustrated),CreateSpace Independent Publishing Platform,23.29
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,14.69
The Way We Live Now,CreateSpace Independent Publishing Platform,53.19
A Study in Scarlet,CreateSpace Independent Publishing Platform,19.09
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,9.29
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,24.09
The Importance of Being Earnest,CreateSpace Independent Publishing Platform,9.59
The Yellow Wallpaper,CreateSpace Independent Publishing Platform,16.79
Sense and Sensibility,CreateSpace Independent Publishing Platform,25.49
The Adventures of Sherlock Holmes,CreateSpace Independent Publishing Platform,28.29
Sense and Sensibility,CreateSpace Independent Publishing Platform,20.59
Barchester Towers (1857). is the second novel in Anthony Trollope's series known,CreateSpace Independent Publishing Platform,29.29
Orthodoxy . By,CreateSpace Independent Publishing Platform,23.09
The Happy Prince and Other Tales,CreateSpace Independent Publishing Platform,8.59
Hamlet,CreateSpace Independent Publishing Platform,16.29
Hamlet,CreateSpace Independent Publishing Platform,15.49
Emma,CreateSpace Independent Publishing Platform,32.59
Wives and Daughters,CreateSpace Independent Publishing Platform,38.49
Anne of Green Gables,CreateSpace Independent Publishing Platform,19.49
The Casebook of Sherlock Holmes,CreateSpace Independent Publishing Platform,24.29
Trust,CreateSpace Independent Publishing Platform,20.69
Pride and Prejudice,CreateSpace Independent Publishing Platform,18.59
A Study in Scarlet,CreateSpace Independent Publishing Platform,17.69
Little Women,CreateSpace Independent Publishing Platform,30.29
Sense and Sensibility,CreateSpace Independent Publishing Platform,20.49
Pride and Prejudice by Jane Austen,CreateSpace Independent Publishing Platform,31.89
The Importance of Being Earnest,CreateSpace Independent Publishing Platform,17.59
Peter Pan,CreateSpace Independent Publishing Platform,19.99
Captain Blood,CreateSpace Independent Publishing Platform,25.89
Captain Blood,CreateSpace Independent Publishing Platform,31.69
The Death of Ivan Ilych,CreateSpace Independent Publishing Platform,15.49
Ben-Hur A Tale Of The Christ,CreateSpace Independent Publishing Platform,25.09
The Princess and the Goblin,CreateSpace Independent Publishing Platform,17.59
The Picture of Dorian Gray (Fantasy Illustrated Edition),CreateSpace Independent Publishing Platform,15.49
Ben Hur,CreateSpace Independent Publishing Platform,32.49
Persuasion,CreateSpace Independent Publishing Platform,13.69
The Hound of the Baskervilles,CreateSpace Independent Publishing Platform,30.29
Quo Vadis,CreateSpace Independent Publishing Platform,39.29
Eight Cousins,CreateSpace Independent Publishing Platform,28.89
Little Women,CreateSpace Independent Publishing Platform,24.99
The Adventures of Sherlock Holmes,CreateSpace Independent Publishing Platform,14.49
Dracula,CreateSpace Independent Publishing Platform,20.19
The Three Musketeers,CreateSpace Independent Publishing Platform,53.89
A Christmas Carol,CreateSpace Independent Publishing Platform,11.09
White Fang,CreateSpace Independent Publishing Platform,11.09
Hamlet,CreateSpace Independent Publishing Platform,12.69
An Old-Fashioned Girl,CreateSpace Independent Publishing Platform,13.89
Neighbor Dearest,CreateSpace Independent Publishing Platform,24.29
Peter Pan,CreateSpace Independent Publishing Platform,14.09
The Cloak,CreateSpace Independent Publishing Platform,10.19
War and Peace,CreateSpace Independent Publishing Platform,38.99
The Hound of the Baskervilles,CreateSpace Independent Publishing Platform,15.09
The Return of Sherlock Holmes,CreateSpace Independent Publishing Platform,48.79
Dangerous Connections,CreateSpace Independent Publishing Platform,23.89
Adventures of Sherlock Holmes,CreateSpace Independent Publishing Platform,19.39
The Picture of Dorian Gray,CreateSpace Independent Publishing Platform,17.29
Alice's Adventures in Wonderland,CreateSpace Independent Publishing Platform,15.59
"The tenant of Wildfell Hall, by Anne Bronte and Mrs. Humphry Ward",CreateSpace Independent Publishing Platform,28.79
The cask of Amontillado/La barrique d'Amontillado,CreateSpace Independent Publishing Platform,19.99
Siddhartha,CreateSpace Independent Publishing Platform,10.19
The Picture of Dorian Gray - Classics in Large Print,CreateSpace Independent Publishing Platform,37.99
Pride and Prejudice,CreateSpace Independent Publishing Platform,19.59
Dragon Mated,CreateSpace Independent Publishing Platform,26.19
The Railway Children,CreateSpace Independent Publishing Platform,17.59
Persuasion,CreateSpace Independent Publishing Platform,19.19
Anne of Green Gables,CreateSpace Independent Publishing Platform,25.89
The Count of Monte Christo,CreateSpace Independent Publishing Platform,36.09
The Hound of the Baskervilles,CreateSpace Independent Publishing Platform,40.79
"The Tenant of wildfell hall. (1848) NOVEL (Complete Set Volume 1,2 and 3)",CreateSpace Independent Publishing Platform,24.59
War and Peace,CreateSpace Independent Publishing Platform,38.99
The Importance of Being Earnest,CreateSpace Independent Publishing Platform,11.09
The Brothers Grimm Fairy Tales,47north,14.29
The Sea-Wolf,POCKET BOOKS,19.09
The Picture of Dorian Gray,House of Anansi Press,15.89
Sherlock Holmes,Pook Press,15.39
The Last Day of a Condemned Man,Grand Central Publishing,17.69
The Shadow Over Innsmouth (annotated),Vision,9.49
The Prose Edda,Grand Central Publishing,18.79
The Queen's Poisoner,Wayward Park Publishing,19.19
All Dressed in White,Jennifer L. Armentrout,12.79
The Break,Del Rey Books,22.99
Fairy Tales from Hans Christian Andersen - Illustrated by Dugald Stewart Walker,Tor Books,85.79
The Guilty,Random House Large Print Publishing,24.39
14th Deadly Sin,Little Brown and Company,14.19
The Witness,Penguin LCC US,11.49
Siddhartha,Pan Macmillan,15.09
Torn,Faber And Faber Ltd.,22.59
Uprooted,"Little, Brown Book Group",23.29
Death's End,"Little, Brown Book Group",38.29
Homegoing,Simon + Schuster UK,42.09
NYPD Red 4,"Little, Brown Book Group",55.59
Tom Clancy's Full Force and Effect,Penguin LCC US,15.29
The Little Prince,Orion Publishing Group,14.69
The Kind Worth Killing,"Little, Brown Book Group",13.39
Lightbringer 3. The Broken Eye,Reprint Publishing,17.79
Veiled,"HTJB, Inc.",16.49
An Evil Mind,Angie Fox,13.49
Life or Death,EVERTYPE,15.29
The  Magician's Land,BENEDICTION CLASSICS,18.39
The Fifth Witness,Allegro Editions,14.69
The Silkworm,ECHO POINT BOOKS & MEDIA,16.49
